url,location,floor,floors_count,rooms_count,living_meters,kitchen_meters,total_meters,price_feb,price_apr,price_may,district,street,residential_complex,year_of_construction,price_per_m2
https://sochi.cian.ru/sale/flat/293449179/,55.0,11.0,17.0,3.0,55.0,15.0,73.0,14500000,14150000,14000000,199.0,181.0,322.0,2018.0,191780.8219178082
https://sochi.cian.ru/sale/flat/268041987/,55.0,14.0,20.0,2.0,40.0,12.0,63.0,11690000,11430000,11300000,71.0,813.0,56.0,2014.0,179365.07936507938
https://sochi.cian.ru/sale/flat/277011204/,55.0,14.0,19.0,2.0,30.0,10.0,45.0,12910000,12620000,12500000,71.0,215.0,261.0,2019.0,277777.77777777775
https://krasnodar.cian.ru/sale/flat/287129578/,55.0,8.0,10.0,2.0,22.0,10.0,42.0,9910000,9730000,9600000,134.0,598.0,322.0,2015.0,228571.42857142858
https://sochi.cian.ru/sale/flat/293449179/,48.0,11.0,17.0,3.0,55.0,15.0,73.0,14430000,14150000,14000000,199.0,181.0,322.0,2018.0,191780.8219178082
https://sochi.cian.ru/sale/flat/268041987/,48.0,14.0,20.0,2.0,40.0,12.0,63.0,11680000,11430000,11300000,71.0,813.0,56.0,2014.0,179365.07936507938
https://sochi.cian.ru/sale/flat/277011204/,48.0,14.0,19.0,2.0,30.0,10.0,45.0,12880000,12620000,12500000,71.0,215.0,261.0,2019.0,277777.77777777775
https://krasnodar.cian.ru/sale/flat/287129578/,48.0,8.0,10.0,2.0,22.0,10.0,42.0,9900000,9730000,9600000,134.0,598.0,322.0,2015.0,228571.42857142858
https://chernogolovka.cian.ru/sale/flat/301208591/,22.0,5.0,9.0,4.0,46.0,5.0,61.0,8580000,8300000,8300000,15.0,863.0,322.0,1978.0,136065.5737704918
https://chernogolovka.cian.ru/sale/flat/300434310/,22.0,14.0,16.0,1.0,17.0,7.0,40.0,5040000,4940000,4900000,15.0,664.0,322.0,1989.0,122500.0
https://chernogolovka.cian.ru/sale/flat/300025937/,22.0,6.0,9.0,3.0,38.0,7.0,61.0,7750000,7590000,7500000,15.0,664.0,322.0,1985.0,122950.81967213115
https://chernogolovka.cian.ru/sale/flat/292003195/,22.0,8.0,10.0,2.0,24.0,10.0,50.0,8020000,7670000,7750000,15.0,367.0,322.0,2015.0,155000.0
https://chernogolovka.cian.ru/sale/flat/301720801/,22.0,8.0,9.0,4.0,46.0,6.0,62.0,8770000,8590000,8500000,15.0,523.0,322.0,1982.0,137096.7741935484
https://chernogolovka.cian.ru/sale/flat/301152048/,22.0,14.0,17.0,3.0,43.0,10.0,71.0,12390000,11880000,12000000,15.0,159.0,322.0,1990.0,169014.08450704225
https://chernogolovka.cian.ru/sale/flat/300890298/,22.0,5.0,9.0,2.0,27.0,6.0,46.0,6340000,6230000,6150000,15.0,523.0,322.0,1981.0,133695.65217391305
https://chernogolovka.cian.ru/sale/flat/300826432/,22.0,2.0,7.0,3.0,50.0,10.0,77.0,12920000,12650000,12500000,15.0,654.0,322.0,2006.0,162337.66233766233
https://chernogolovka.cian.ru/sale/flat/300681310/,22.0,15.0,16.0,1.0,17.0,7.0,37.0,5560000,5450000,5400000,15.0,664.0,322.0,1989.0,145945.94594594595
https://chernogolovka.cian.ru/sale/flat/298616081/,22.0,3.0,4.0,2.0,29.0,6.0,43.0,4650000,4550000,4500000,15.0,788.0,322.0,1963.0,104651.16279069768
https://chernogolovka.cian.ru/sale/flat/300033132/,22.0,2.0,7.0,2.0,30.0,11.0,58.0,11400000,11180000,11050000,15.0,654.0,322.0,2006.0,190517.24137931035
https://chernogolovka.cian.ru/sale/flat/299798058/,22.0,1.0,4.0,2.0,27.0,5.0,39.0,4550000,4460000,4400000,15.0,788.0,322.0,1963.0,112820.51282051283
https://chernogolovka.cian.ru/sale/flat/298070587/,22.0,3.0,4.0,2.0,26.0,5.0,44.0,5160000,5060000,5000000,15.0,863.0,322.0,1962.0,113636.36363636363
https://chernogolovka.cian.ru/sale/flat/294218311/,22.0,13.0,17.0,2.0,33.0,10.0,57.0,8780000,8610000,8500000,15.0,159.0,322.0,1991.0,149122.80701754385
