url,living_meters,kitchen_meters,year_of_construction
https://balashikha.cian.ru/sale/flat/299725847/,32.6,5.6,1965
https://balashikha.cian.ru/sale/flat/301730651/,30.0,10.7,2013
https://balashikha.cian.ru/sale/flat/301904400/,33.8,12.8,2013
https://balashikha.cian.ru/sale/flat/299720259/,26.2,6.0,1900
https://balashikha.cian.ru/sale/flat/300881545/,17.1,9.0,1968
https://balashikha.cian.ru/sale/flat/298225851/,18.9,9.6,2014
https://balashikha.cian.ru/sale/flat/300322881/,20.0,14.0,2015
https://balashikha.cian.ru/sale/flat/298969244/,26.0,11.0,2015
https://balashikha.cian.ru/sale/flat/300872005/,30.0,10.0,2015
https://balashikha.cian.ru/sale/flat/301812378/,16.5,10.0,1973
https://balashikha.cian.ru/sale/flat/298166315/,17.0,10.0,2023
https://balashikha.cian.ru/sale/flat/296916169/,9.7,15.9,0
https://balashikha.cian.ru/sale/flat/301039914/,19.0,11.0,2014
https://balashikha.cian.ru/sale/flat/301487688/,18.9,8.5,2010
https://balashikha.cian.ru/sale/flat/301404307/,12.0,0,2015
https://balashikha.cian.ru/sale/flat/300074490/,18.0,12.0,2014
https://balashikha.cian.ru/sale/flat/299773794/,20.0,8.5,2014
https://balashikha.cian.ru/sale/flat/299620059/,18.0,9.0,2017
https://balashikha.cian.ru/sale/flat/298414880/,12.0,0,2015
https://balashikha.cian.ru/sale/flat/301553575/,35.0,0,2012
https://balashikha.cian.ru/sale/flat/299655978/,15.2,10.5,2014
https://balashikha.cian.ru/sale/flat/300141221/,29.5,10.4,2022
https://balashikha.cian.ru/sale/flat/299302387/,20.0,11.0,2002
https://balashikha.cian.ru/sale/flat/292656006/,15.0,9.2,2010
https://balashikha.cian.ru/sale/flat/300845060/,35.0,12.9,2014
https://balashikha.cian.ru/sale/flat/300557046/,18.9,0,2010
https://balashikha.cian.ru/sale/flat/300772065/,16.9,11.2,2014
https://balashikha.cian.ru/sale/flat/299843451/,37.0,6.0,1974
https://balashikha.cian.ru/sale/flat/292441661/,21.1,18.2,0
https://balashikha.cian.ru/sale/flat/301804780/,32.0,6.0,1965
https://balashikha.cian.ru/sale/flat/300992192/,17.0,9.6,2020
https://balashikha.cian.ru/sale/flat/300394806/,25.3,10.0,2020
https://balashikha.cian.ru/sale/flat/300530403/,10.0,0,1900
https://balashikha.cian.ru/sale/flat/298606303/,18.0,0,2021
https://balashikha.cian.ru/sale/flat/301893936/,9.0,0,2020
https://balashikha.cian.ru/sale/flat/292119483/,52.0,10.0,2006
https://balashikha.cian.ru/sale/flat/298324725/,40.0,14.0,2015
https://balashikha.cian.ru/sale/flat/301735076/,36.0,8.0,1976
https://balashikha.cian.ru/sale/flat/299642605/,19.0,6.0,1960
https://balashikha.cian.ru/sale/flat/292459336/,10.1,14.0,0
https://balashikha.cian.ru/sale/flat/295919638/,21.0,10.5,2014
https://balashikha.cian.ru/sale/flat/296273443/,11.0,15.1,0
https://balashikha.cian.ru/sale/flat/293647798/,28.0,6.0,1975
https://balashikha.cian.ru/sale/flat/297042903/,24.5,28.4,2004
https://balashikha.cian.ru/sale/flat/296464924/,9.0,5.0,2015
https://balashikha.cian.ru/sale/flat/301127572/,20.9,10.1,1993
https://balashikha.cian.ru/sale/flat/297053086/,20.0,10.0,2000
https://balashikha.cian.ru/sale/flat/298547656/,18.1,0,2015
https://balashikha.cian.ru/sale/flat/297683893/,36.1,11.9,2007
