location,"feb_apr, %","apr_may, %","jun_jul, %","jul_aug, %",price_4,price_2
Пересвет,-2.2,-1.11,-1.07,-1.26,-3.3100000000000005,-2.33
Верея,-1.96,1.11,-1.15,-1.16,-0.8499999999999999,-2.3099999999999996
Черноголовка,-2.45,0.72,-0.96,-1.17,-1.7300000000000002,-2.13
Дрезна,-2.34,0.98,-1.35,-0.95,-1.3599999999999999,-2.3
Дзержинский,-2.4,-0.8,-1.07,-1.01,-3.2,-2.08
Электрогорск,-2.08,1.11,-1.15,-1.12,-0.97,-2.27
Фрязино,-2.43,0.78,-0.96,-1.05,-1.6500000000000001,-2.01
Голицыно,-1.94,1.12,-1.35,-0.9,-0.8199999999999998,-2.25
Истра,-2.23,0.95,0.0,-1.69,-1.28,-1.69
Яхрома,-2.69,-0.49,-0.82,-1.03,-3.1799999999999997,-1.85
Кашира,-2.59,-0.54,-1.2,-1.08,-3.13,-2.2800000000000002
Красноармейск,-2.39,0.71,1.03,-2.23,-1.6800000000000002,-1.2
Краснозаводск,-2.27,-0.79,-1.06,-1.07,-3.06,-2.13
Краснознаменск,-2.2,0.99,1.0,-2.1,-1.2100000000000002,-1.1
Кубинка,-2.73,0.51,-1.3,-0.91,-2.2199999999999998,-2.21
Ликино-Дулёво,-2.15,0.99,-1.2,-1.09,-1.16,-2.29
Лосино-Петровский,-2.19,0.99,-0.93,-1.03,-1.2,-1.96
Луховицы,-2.27,0.87,-1.11,-1.12,-1.4,-2.2300000000000004
Лыткарино,-2.4,-0.76,-1.18,-1.01,-3.16,-2.19
Можайск,-2.24,0.86,-1.36,-1.04,-1.3800000000000003,-2.4000000000000004
Протвино,-1.84,1.28,-1.2,-1.01,-0.56,-2.21
Рошаль,-2.09,1.04,-1.29,-1.01,-1.0499999999999998,-2.3
Руза,-2.55,-0.69,-0.83,-1.01,-3.2399999999999998,-1.8399999999999999
Шатура,-2.2,0.94,-1.24,-1.16,-1.2600000000000002,-2.4
Солнечногорск,-2.36,0.83,-1.31,-0.91,-1.5299999999999998,-2.22
Талдом,-1.86,1.3,-1.36,-1.15,-0.56,-2.51
Волоколамск,-2.28,0.9,-1.23,-1.09,-1.38,-2.3200000000000003
Высоковск,-2.97,0.24,-1.0,-1.01,-2.7300000000000004,-2.01
Апрелевка,-2.33,1.05,-1.03,-1.05,-1.28,-2.08
Балашиха,-2.34,0.83,-1.32,-1.33,-1.5099999999999998,-2.6500000000000004
Бронницы,-2.18,0.97,0.96,-2.38,-1.2100000000000002,-1.42
Чехов,-2.45,-0.73,-1.4,-1.12,-3.18,-2.52
Дедовск,-2.08,1.06,-1.33,-1.01,-1.02,-2.34
Дмитров,-2.43,-0.71,-1.4,-0.89,-3.14,-2.29
Долгопрудный,-2.31,0.87,-1.19,-1.11,-1.44,-2.3
Домодедово,-2.38,0.78,-0.88,-0.95,-1.5999999999999999,-1.83
Дубна,-2.33,0.81,-0.92,-1.13,-1.52,-2.05
Егорьевск,-2.46,0.74,-1.07,-0.94,-1.72,-2.01
Электросталь,-2.37,0.81,-0.94,-0.95,-1.56,-1.89
Электроугли,-2.55,0.61,-0.88,-1.01,-1.94,-1.8900000000000001
Химки,-2.31,0.84,0.96,-2.21,-1.4700000000000002,-1.25
Хотьково,-2.34,0.85,-1.2,-1.04,-1.4899999999999998,-2.24
Ивантеевка,-2.41,1.06,-0.94,-1.13,-1.35,-2.07
Клин,-2.29,0.87,0.0,-1.5,-1.42,-1.5
Коломна,-2.37,0.82,-0.94,-1.24,-1.5500000000000003,-2.1799999999999997
Королёв,-2.32,0.85,0.0,-1.38,-1.4699999999999998,-1.38
Красногорск,-2.35,-0.81,-1.33,-1.16,-3.16,-2.49
Куровское,-2.56,0.61,0.94,-2.21,-1.9500000000000002,-1.27
Люберцы,-2.27,0.9,-1.38,-1.05,-1.37,-2.4299999999999997
Лобня,-2.43,-0.73,-1.39,-1.15,-3.16,-2.54
Москва,5.38,0.97,0.98,-1.99,6.35,-1.01
Мытищи,-2.31,0.85,1.0,-2.12,-1.46,-1.12
Ногинск,-1.97,1.05,1.03,-2.18,-0.9199999999999999,-1.1500000000000001
Одинцово,-2.3,0.86,-1.12,-1.02,-1.44,-2.14
Орехово-Зуево,-2.59,0.63,-1.09,-1.16,-1.96,-2.25
Озёры,-2.54,-0.49,-1.25,-1.16,-3.0300000000000002,-2.41
Павловский Посад,-2.09,1.06,-1.05,-0.98,-1.0299999999999998,-2.0300000000000002
Подольск,-2.37,0.81,-1.14,-1.23,-1.56,-2.37
Пушкино,-2.68,0.52,-1.14,-1.2,-2.16,-2.34
Раменское,-2.31,0.87,-1.11,-1.2,-1.44,-2.31
Реутов,-2.31,0.87,-1.0,-1.18,-1.44,-2.1799999999999997
Щёлково,-2.28,0.9,-0.98,-1.1,-1.38,-2.08
Сергиев Посад,-2.71,0.52,-1.25,-1.15,-2.19,-2.4
Серпухов,-2.5,0.68,-1.28,-1.02,-1.8199999999999998,-2.3
Старая Купавна,-2.55,0.61,-0.89,-1.22,-1.94,-2.11
Ступино,-2.32,0.89,-1.22,-1.17,-1.4299999999999997,-2.3899999999999997
Видное,-2.35,0.81,1.01,-1.94,-1.54,-0.9299999999999999
Воскресенск,-2.34,0.84,-1.03,-1.17,-1.5,-2.2
Зарайск,-2.55,0.61,-3.39,0.0,-1.94,-3.39
Жуковский,-2.29,0.88,-1.48,-1.13,-1.4100000000000001,-2.61
Звенигород,-2.32,0.83,-1.41,-0.95,-1.4899999999999998,-2.36
